date,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY
1994-01-03,37.4,31.5,21.9
1994-01-04,18.3,23.5,11.3
1994-01-05,1.6,10.9,-10.1
1994-01-06,13.3,17.4,4.3
1994-01-07,44.6,23.7,16.9
1994-01-08,21.4,25.0,17.1
1994-01-09,20.3,23.4,18.3
1994-01-10,20.7,23.9,46.4
1994-01-11,23.4,28.6,18.0
1994-01-12,24.6,28.2,16.9
1994-01-13,28.2,,22.5
1994-01-14,23.5,33.8,16.2
1994-01-15,14.2,19.6,7.9
1994-01-16,8.8,44.6,1.6
1994-01-17,23.9,28.2,44.6
1994-01-18,22.1,28.0,13.5
1994-01-19,21.6,31.5,12.7
1994-01-20,37.4,,22.5
1994-01-21,29.5,,25.3
1994-01-22,28.8,,39.2
1994-01-23,26.8,,20.5
1994-01-24,22.3,,15.4
1994-01-25,19.8,,14.4
1994-01-26,17.1,18.9,14.9
1994-01-27,18.0,23.5,14.4
1994-01-28,10.8,18.1,0.0
1994-01-29,60.8,9.0,-1.5
1994-01-30,8.2,13.6,-1.1
1994-01-31,11.1,18.5,6.6
1994-02-01,11.8,46.4,7.7
1994-02-02,7.3,15.3,-2.4
1994-02-03,9.5,16.5,5.2
1994-02-04,13.8,22.8,7.3
1994-02-05,-4.7,12.7,-16.1
1994-02-06,-18.2,-11.7,-24.9
1994-02-07,-11.6,5.4,-27.4
1994-02-08,10.0,16.9,-2.7
1994-02-09,9.3,18.5,1.9
1994-02-10,5.4,19.2,-4.2
1994-02-11,12.4,22.1,3.4
1994-02-12,18.1,24.6,12.0
1994-02-13,18.0,39.2,13.8
1994-02-14,24.6,,17.8
1994-02-15,27.1,,16.3
1994-02-16,31.6,,37.4
1994-02-17,22.1,30.4,10.9
1994-02-18,14.2,24.4,6.3
1994-02-19,12.7,23.9,60.8
1994-02-20,12.0,24.4,3.0
1994-02-21,11.3,19.8,3.9
1994-02-22,13.6,42.8,-3.5
1994-02-23,-16.8,-1.5,-27.4
1994-02-24,9.5,23.7,-18.4
1994-02-25,25.3,,19.6
1994-02-26,27.0,,21.6
1994-02-27,25.7,,18.0
1994-02-28,32.9,,27.9
1994-03-01,35.8,,31.3
1994-03-02,35.1,,29.3
1994-03-03,31.1,,25.0
1994-03-04,21.6,,11.1
1994-03-05,18.5,31.1,11.3
1994-03-06,12.0,25.7,-0.4
1994-03-07,17.1,,3.6
1994-03-08,22.1,,7.0
1994-03-09,30.7,,21.4
1994-03-10,41.0,29.3,14.2
1994-03-11,25.5,,13.1
1994-03-12,35.4,,25.5
1994-03-13,34.5,,25.7
1994-03-14,37.0,,24.1
1994-03-15,39.0,,25.2
1994-03-16,23.9,28.8,18.3
1994-03-17,34.2,,25.2
1994-03-18,18.0,29.8,11.5
1994-03-19,19.8,30.4,8.2
1994-03-20,41.0,29.3,12.0
1994-03-21,16.9,27.5,6.4
1994-03-22,14.5,20.7,8.2
1994-03-23,13.5,29.8,3.0
1994-03-24,14.7,31.3,0.7
1994-03-25,16.9,20.5,12.7
1994-03-26,19.9,,7.9
1994-03-27,42.8,35.6,15.1
1994-03-28,20.1,,3.0
1994-03-29,27.9,,50.0
1994-03-30,34.0,,19.0
1994-03-31,28.6,,24.1
1994-04-01,29.8,,14.9
1994-04-02,33.8,,23.5
1994-04-03,44.6,26.2,51.8
1994-04-04,22.6,,50.0
1994-04-05,24.1,,11.8
1994-04-06,22.6,,16.9
1994-04-07,24.4,,16.3
1994-04-08,30.7,,20.7
1994-04-09,31.8,,42.8
1994-04-10,36.9,,28.9
1994-04-11,33.4,,21.7
1994-04-12,27.9,,21.6
1994-04-13,42.8,,15.4
1994-04-14,39.7,,
1994-04-15,46.8,,
1994-04-16,44.6,,31.6
1994-04-17,41.5,,
1994-04-18,43.2,,
1994-04-19,42.6,,
1994-04-20,44.6,,
1994-04-21,38.1,,30.6
1994-04-22,37.9,,
1994-04-23,33.3,,24.1
1994-04-24,18.3,24.3,14.2
1994-04-25,14.5,23.4,7.7
1994-04-26,16.9,28.2,8.2
1994-04-27,14.7,37.4,6.1
1994-04-28,28.0,,19.0
1994-04-29,36.0,,27.0
1994-04-30,34.0,,27.1
1994-05-01,35.1,,25.7
1994-05-02,36.1,,27.5
1994-05-03,39.7,,
1994-05-04,35.4,,37.4
1994-05-05,42.6,,31.6
1994-05-06,47.8,,
1994-05-07,44.8,,
1994-05-08,51.3,,
1994-05-09,44.4,,
1994-05-10,51.4,,
1994-05-11,44.4,,
1994-05-12,36.1,,27.3
1994-05-13,43.0,,
1994-05-14,39.7,,29.8
1994-05-15,37.6,,
1994-05-16,34.0,,29.7
1994-05-17,34.7,,
1994-05-18,37.2,,31.3
1994-05-19,35.8,,31.6
1994-05-20,38.1,,30.9
1994-05-21,40.8,,31.1
1994-05-22,42.3,,
1994-05-23,46.6,,
1994-05-24,48.0,,
1994-05-25,53.2,,
1994-05-26,40.5,,27.1
1994-05-27,41.9,,
1994-05-28,36.1,,30.6
1994-05-29,41.7,,
1994-05-30,48.6,,
1994-05-31,38.3,,30.0
1994-06-01,45.9,,
1994-06-02,51.1,,
1994-06-03,46.0,,
1994-06-04,53.1,,
1994-06-05,48.2,,
1994-06-06,36.1,,29.3
1994-06-07,32.7,,27.5
1994-06-08,38.3,,29.1
1994-06-09,44.8,,
1994-06-10,50.9,,
1994-06-11,48.9,,
1994-06-12,35.8,,28.0
1994-06-13,32.5,,26.8
1994-06-14,36.7,,31.5
1994-06-15,33.4,,33.8
1994-06-16,46.8,,
1994-06-17,54.9,,
1994-06-18,55.9,,
1994-06-19,61.3,,
1994-06-20,57.0,,
1994-06-21,57.2,,
1994-06-22,57.6,,
1994-06-23,58.1,,
1994-06-24,53.4,,
1994-06-25,49.1,,
1994-06-26,46.2,,
1994-06-27,54.9,,
1994-06-28,59.5,,
1994-06-29,58.8,,
1994-06-30,60.1,,
1994-07-01,56.8,,
1994-07-02,43.2,,30.0
1994-07-03,44.1,,
1994-07-04,48.4,,
1994-07-05,43.0,,
1994-07-06,43.9,,
1994-07-07,51.8,,
1994-07-08,58.8,,
1994-07-09,55.4,,
1994-07-10,51.3,,
1994-07-11,51.3,,
1994-07-12,50.4,,
1994-07-13,50.0,,
1994-07-14,46.6,,
1994-07-15,50.0,,
1994-07-16,58.8,,
1994-07-17,55.8,,
1994-07-18,47.3,,
1994-07-19,50.9,,
1994-07-20,59.2,,
1994-07-21,57.6,,
