sids,uid,state,ll,name,elev
"['246747 2', 'USC00246747 6', 'PRYM8 7']",11715,MT,"[-108.5362, 45.4339]",PRYOR,4057.0
"['240236 2', 'USC00240236 6']",11716,MT,"[-112.71667, 45.4]",APEX 2 NW,5404.0
"['240814 2', 'USC00240814 6']",11717,MT,"[-112.85, 45.41667]",BIRCH CREEK CAMP,6604.0
['242720 2'],11718,MT,"[-113.11667, 45.43333]",ELKHORN HOT SPRINGS 2 S,6946.0
"['247037 2', 'USC00247037 6']",11719,MT,"[-104.5, 45.46667]",RIDGWAY 4 SW,3304.0
"['247735 2', 'USC00247735 6']",11720,MT,"[-105.81667, 45.46667]",SONNETTE 4 N,3504.0
['94004 1'],11721,MT,"[-107.75, 45.46667]",ST XAVIER,
"['242658 2', 'USC00242658 6']",11722,MT,"[-108.73333, 45.46667]",EDGAR 6 E,4104.0
['242655 2'],11723,MT,"[-108.85, 45.46667]",EDGAR,3442.0
"['244506 2', 'USC00244506 6', 'JOLM8 7']",11724,MT,"[-109.0105, 45.4732]",JOLIET,3838.0
"['242996 2', 'USC00242996 6', 'FSTM8 7']",11725,MT,"[-109.507, 45.453]",FISHTAIL,4500.0
"['246190 2', 'USC00246190 6', 'NYEM8 7']",11726,MT,"[-109.808, 45.4349]",NYE #2,4840.0
"['245080 2', 'USC00245080 6', 'LVGM8 7']",11727,MT,"[-110.559, 45.4955]",LIVINGSTON 12 S,5044.0
"['243366 2', 'USC00243366 6', 'GTNM8 7']",11728,MT,"[-111.2369, 45.4458]",GALLATIN GATEWAY 10SSW,5441.0
"['246157 2', 'USC00246157 6', 'MADM8 7']",11729,MT,"[-111.6336, 45.4875]",NORRIS MADISON POWER HOUSE,4745.0
"['242719 2', 'USC00242719 6', 'EKHM8 7']",11730,MT,"[-113.11667, 45.46667]",ELKHORN HOT SPRINGS,7385.0
"['247034 2', 'USC00247034 6', 'RIDM8 7']",11731,MT,"[-104.4477, 45.5022]",RIDGEWAY 1 S,3316.0
"['240827 2', 'USC00240827 6']",11732,MT,"[-106.51667, 45.53333]",BIRNEY 15 N,4124.0
"['241297 2', 'USC00241297 6', 'BSBM8 7']",11733,MT,"[-106.9597, 45.5397]",BUSBY,3430.0
"['245540 2', 'USC00245540 6', 'MCLM8 7']",11734,MT,"[-110.22611, 45.51917]",MCLEOD 12 SSW,5220.0
"['243365 2', 'GLGM8 7']",11735,MT,"[-111.2697, 45.4975]",GALLATIN GATEWAY 7 S,5168.0
"['243570 2', 'USC00243570 6', 'GLEM8 7']",11736,MT,"[-112.7005, 45.5262]",GLEN 4 N,5054.0
"['245592 2', 'MLRM8 7']",11737,MT,"[-112.7, 45.53333]",MELROSE 7 S,5033.0
"['240019 2', 'ABSM8 7']",11738,MT,"[-109.3935, 45.5443]",ABSAROKEE,3955.0
"['246153 2', 'USC00246153 6']",11739,MT,"[-111.65, 45.58333]",NORRIS 3 ENE,4803.0
"['248430 2', 'USC00248430 6', 'TNBM8 7']",11740,MT,"[-112.326, 45.5472]",TWIN BRIDGES,4625.0
"['240330 2', 'USC00240330 6', 'ASHM8 7']",11741,MT,"[-106.2722, 45.5938]",ASHLAND RANGER STATION,2940.0
"['244839 2', 'USC00244839 6', 'LAMM8 7']",11742,MT,"[-106.66417, 45.62583]",LAME DEER,3300.0
"['242112 2', 'USC00242112 6', 'CROM8 7']",11743,MT,"[-107.45, 45.6]",CROW AGENCY,3030.0
"['241938 2', 'USC00241938 6', 'COSM8 7']",11744,MT,"[-109.2675, 45.6444]",COLUMBUS,3602.0
"['245078 2', 'LIVM8 7']",11745,MT,"[-110.56528, 45.59722]",LIVINGSTON 5 S,4543.0
"['245590 2', 'USC00245590 6']",11746,MT,"[-112.68333, 45.63333]",MELROSE,5184.0
"['249067 2', 'USC00249067 6', 'WISM8 7']",11747,MT,"[-113.4513, 45.6177]",WISDOM,6060.0
"['240636 2', 'USC00240636 6', 'BTWM8 7']",11748,MT,"[-104.3856, 45.6946]",BELLTOWER,3234.0
"['244894 2', 'USC00244894 6', 'LAUM8 7']",11749,MT,"[-108.81667, 45.66667]",LAUREL 3 WSW,3319.0
"['245533 2', 'USC00245533 6', 'MDLM8 7']",11750,MT,"[-110.1147, 45.6627]",MCLEOD,4809.0
"['245076 2', 'USC00245076 6']",11751,MT,"[-110.56667, 45.66667]",LIVINGSTON,4491.0
"['241044 2', 'USC00241044 6', 'BZEM8 7']",11752,MT,"[-111.0463, 45.6621]",BOZEMAN MONTANA STATE UNIVERSITY,4913.0
"['241047 2', 'USC00241047 6', 'BZMM8 7']",11753,MT,"[-111.1547, 45.6729]",BOZEMAN 6 W EXP FARM,4775.0
"['240202 2', 'USC00240202 6']",11754,MT,"[-111.36667, 45.65]",ANCENEY,4764.0
"['246655 2', 'USC00246655 6', 'PNYM8 7']",11755,MT,"[-111.89861, 45.65722]",PONY,5590.0
"['247610 2', 'USC00247610 6', 'SVRM8 7']",11756,MT,"[-112.2834, 45.6917]",SILVERSTAR,4585.0
"['243918 2', 'HRDM8 7']",11758,MT,"[-107.55667, 45.73583]",HARDIN 3 E,2790.0
"['243915 2', 'USC00243915 6', 'HDNM8 7']",11759,MT,"[-107.6091, 45.7316]",HARDIN,2880.0
"['246946 2', 'USC00246946 6', 'RPTM8 7']",11760,MT,"[-109.5399, 45.7061]",REEDPOINT,3744.0
"['247800 2', 'USC00247800 6', 'SPDM8 7']",11761,MT,"[-110.2243, 45.73833]",SPRINGDALE,4235.0
"['243479 2', 'USC00243479 6', 'GIBM8 7']",11762,MT,"[-113.955, 45.6928]",GIBBONS PASS,7070.0
['24096 1'],11763,MT,"[-107.56667, 45.71667]",HARDIN A,
"['246697 2', 'USC00246697 6']",11764,MT,"[-105.1, 45.76667]",POWDERVILLE,2802.0
['24038 1'],11765,MT,"[-108.53333, 45.8]",BILLINGS AAF,
"['240802 2', 'USC00240802 6', 'BWPM8 7']",11766,MT,"[-108.4811, 45.7716]",BILLINGS WATER TREATMENT PLANT,3097.0
"['245791 2', 'USC00245791 6', 'MOLM8 7']",11767,MT,"[-108.9663, 45.7846]",MOLT 6 SW,3990.0
"['24132 1', '240622 2', 'BZN 3', 'KBZN 5', 'USW00024132 6', 'BZN 7', 'USW00024132 32']",11768,MT,"[-111.16152, 45.78759]",BOZEMAN GALLATIN FIELD AP,4431.0
"['242421 2', 'USC00242421 6', 'DVDM8 7']",11769,MT,"[-112.7547, 45.751]",DIVIDE,5350.0
"['249082 2', 'USC00249082 6', 'WRVM8 7']",11770,MT,"[-112.9939, 45.8026]",WISE RIVER 3 WNW,5730.0
"['94058 1', 'USW00094058 32']",11771,MT,"[-108.53333, 45.78333]",BILLINGS,
"['248607 2', 'USC00248607 6', 'VOLM8 7']",11772,MT,"[-105.6808, 45.8436]",VOLBORG,2980.0
"['241084 2', 'USC00241084 6', 'BDBM8 7']",11773,MT,"[-106.2329, 45.8162]",BRANDENBERG,2770.0
"['240800 2', 'BILM8 7']",11774,MT,"[-108.46667, 45.8]",BILLINGS RIVER,3081.0
"['24033 1', '240807 2', 'BIL 3', '72677 4', 'KBIL 5', 'USW00024033 6', 'BIL 7', 'USW00024033 32']",11775,MT,"[-108.54618, 45.80721]",BILLINGS INTERNATIONAL AIRPORT,3590.0
"['240780 2', 'USC00240780 6', 'BGTM8 7']",11776,MT,"[-109.9511, 45.8326]",BIG TIMBER,4100.0
"['240443 2', 'USC00240443 6']",11777,MT,"[-110.8, 45.8]",BANGTAIL RIDGE,7956.0
