stationId,durCode,SENSOR_NUM,sensorType,date,obsDate,value,dataFlag,units
SLM,D,2,RAIN,2016-12-10 00:00,2016-12-10 00:00,8.26, ,INCHES
SLM,D,2,RAIN,2016-12-11 00:00,2016-12-11 00:00,8.26, ,INCHES
SLM,D,2,RAIN,2016-12-12 00:00,2016-12-12 00:00,8.26, ,INCHES
SLM,D,2,RAIN,2016-12-13 00:00,2016-12-13 00:00,8.26, ,INCHES
SLM,D,2,RAIN,2016-12-14 00:00,2016-12-14 00:00,8.26, ,INCHES
SLM,D,2,RAIN,2016-12-15 00:00,2016-12-15 00:00,8.28, ,INCHES
SLM,D,2,RAIN,2016-12-16 00:00,2016-12-16 00:00,8.28, ,INCHES
SLM,D,2,RAIN,2016-12-17 00:00,2016-12-17 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2016-12-18 00:00,2016-12-18 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2016-12-19 00:00,2016-12-19 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2016-12-20 00:00,2016-12-20 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2016-12-21 00:00,2016-12-21 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2016-12-22 00:00,2016-12-22 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2016-12-23 00:00,2016-12-23 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2016-12-24 00:00,2016-12-24 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2016-12-25 00:00,2016-12-25 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2016-12-26 00:00,2016-12-26 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2016-12-27 00:00,2016-12-27 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2016-12-28 00:00,2016-12-28 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2016-12-29 00:00,2016-12-29 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2016-12-30 00:00,2016-12-30 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2016-12-31 00:00,2016-12-31 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-1-1 00:00,2017-1-1 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-1-2 00:00,2017-1-2 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-1-3 00:00,2017-1-3 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-1-4 00:00,2017-1-4 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-1-5 00:00,2017-1-5 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-1-6 00:00,2017-1-6 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-1-7 00:00,2017-1-7 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-1-8 00:00,2017-1-8 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-1-9 00:00,2017-1-9 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-1-10 00:00,2017-1-10 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-1-11 00:00,2017-1-11 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-1-12 00:00,2017-1-12 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-1-13 00:00,2017-1-13 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-1-14 00:00,2017-1-14 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-1-15 00:00,2017-1-15 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-1-16 00:00,2017-1-16 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-1-17 00:00,2017-1-17 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-1-18 00:00,2017-1-18 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-1-19 00:00,2017-1-19 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-1-20 00:00,2017-1-20 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-1-21 00:00,2017-1-21 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-1-22 00:00,2017-1-22 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-1-23 00:00,2017-1-23 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-1-24 00:00,2017-1-24 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-1-25 00:00,2017-1-25 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-1-26 00:00,2017-1-26 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-1-27 00:00,2017-1-27 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-1-28 00:00,2017-1-28 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-1-29 00:00,2017-1-29 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-1-30 00:00,2017-1-30 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-1-31 00:00,2017-1-31 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-2-1 00:00,2017-2-1 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-2-2 00:00,2017-2-2 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-2-3 00:00,2017-2-3 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-2-4 00:00,2017-2-4 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-2-5 00:00,2017-2-5 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-2-6 00:00,2017-2-6 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-2-7 00:00,2017-2-7 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-2-8 00:00,2017-2-8 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-2-9 00:00,2017-2-9 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-2-10 00:00,2017-2-10 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-2-11 00:00,2017-2-11 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-2-12 00:00,2017-2-12 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-2-13 00:00,2017-2-13 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-2-14 00:00,2017-2-14 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-2-15 00:00,2017-2-15 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-2-16 00:00,2017-2-16 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-2-17 00:00,2017-2-17 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-2-18 00:00,2017-2-18 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-2-19 00:00,2017-2-19 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-2-20 00:00,2017-2-20 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-2-21 00:00,2017-2-21 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-2-22 00:00,2017-2-22 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-2-23 00:00,2017-2-23 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-2-24 00:00,2017-2-24 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-2-25 00:00,2017-2-25 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-2-26 00:00,2017-2-26 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-2-27 00:00,2017-2-27 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-2-28 00:00,2017-2-28 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-3-1 00:00,2017-3-1 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-3-2 00:00,2017-3-2 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-3-3 00:00,2017-3-3 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-3-4 00:00,2017-3-4 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-3-5 00:00,2017-3-5 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-3-6 00:00,2017-3-6 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-3-7 00:00,2017-3-7 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-3-8 00:00,2017-3-8 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-3-9 00:00,2017-3-9 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-3-10 00:00,2017-3-10 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-3-11 00:00,2017-3-11 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-3-12 00:00,2017-3-12 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-3-13 00:00,2017-3-13 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-3-14 00:00,2017-3-14 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-3-15 00:00,2017-3-15 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-3-16 00:00,2017-3-16 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-3-17 00:00,2017-3-17 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-3-18 00:00,2017-3-18 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-3-19 00:00,2017-3-19 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-3-20 00:00,2017-3-20 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-3-21 00:00,2017-3-21 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-3-22 00:00,2017-3-22 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-3-23 00:00,2017-3-23 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-3-24 00:00,2017-3-24 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-3-25 00:00,2017-3-25 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-3-26 00:00,2017-3-26 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-3-27 00:00,2017-3-27 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-3-28 00:00,2017-3-28 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-3-29 00:00,2017-3-29 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-3-30 00:00,2017-3-30 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-3-31 00:00,2017-3-31 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-4-1 00:00,2017-4-1 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-4-2 00:00,2017-4-2 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-4-3 00:00,2017-4-3 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-4-4 00:00,2017-4-4 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-4-5 00:00,2017-4-5 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-4-6 00:00,2017-4-6 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-4-7 00:00,2017-4-7 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-4-8 00:00,2017-4-8 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-4-9 00:00,2017-4-9 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-4-10 00:00,2017-4-10 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-4-11 00:00,2017-4-11 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-4-12 00:00,2017-4-12 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-4-13 00:00,2017-4-13 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-4-14 00:00,2017-4-14 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-4-15 00:00,2017-4-15 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-4-16 00:00,2017-4-16 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-4-17 00:00,2017-4-17 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-4-18 00:00,2017-4-18 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-4-19 00:00,2017-4-19 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-4-20 00:00,2017-4-20 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-4-21 00:00,2017-4-21 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-4-22 00:00,2017-4-22 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-4-23 00:00,2017-4-23 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-4-24 00:00,2017-4-24 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-4-25 00:00,2017-4-25 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-4-26 00:00,2017-4-26 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-4-27 00:00,2017-4-27 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-4-28 00:00,2017-4-28 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-4-29 00:00,2017-4-29 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-4-30 00:00,2017-4-30 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-5-1 00:00,2017-5-1 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-5-2 00:00,2017-5-2 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-5-3 00:00,2017-5-3 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-5-4 00:00,2017-5-4 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-5-5 00:00,2017-5-5 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-5-6 00:00,2017-5-6 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-5-7 00:00,2017-5-7 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-5-8 00:00,2017-5-8 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-5-9 00:00,2017-5-9 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-5-10 00:00,2017-5-10 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-5-11 00:00,2017-5-11 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-5-12 00:00,2017-5-12 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-5-13 00:00,2017-5-13 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-5-14 00:00,2017-5-14 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-5-15 00:00,2017-5-15 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-5-16 00:00,2017-5-16 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-5-17 00:00,2017-5-17 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-5-18 00:00,2017-5-18 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-5-19 00:00,2017-5-19 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-5-20 00:00,2017-5-20 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-5-21 00:00,2017-5-21 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-5-22 00:00,2017-5-22 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-5-23 00:00,2017-5-23 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-5-24 00:00,2017-5-24 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-5-25 00:00,2017-5-25 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-5-26 00:00,2017-5-26 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-5-27 00:00,2017-5-27 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-5-28 00:00,2017-5-28 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-5-29 00:00,2017-5-29 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-5-30 00:00,2017-5-30 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-5-31 00:00,2017-5-31 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-6-1 00:00,2017-6-1 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-6-2 00:00,2017-6-2 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-6-3 00:00,2017-6-3 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-6-4 00:00,2017-6-4 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-6-5 00:00,2017-6-5 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-6-6 00:00,2017-6-6 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-6-7 00:00,2017-6-7 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-6-8 00:00,2017-6-8 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-6-9 00:00,2017-6-9 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-6-10 00:00,2017-6-10 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-6-11 00:00,2017-6-11 00:00,10.78, ,INCHES
SLM,D,2,RAIN,2017-6-12 00:00,2017-6-12 00:00,10.78, ,INCHES
