datetime,00010_Mean,00010_Mean_cd,site_no,00025_Mean,00025_Mean_cd,00047_Mean,00047_Mean_cd,00060_Mean,00060_Mean_cd,00095_Mean,00095_Mean_cd,00300_Mean,00300_Mean_cd,32295_Mean,32295_Mean_cd,32315_exo wq monitor_Mean,32315_exo wq monitor_Mean_cd,32316_Mean,32316_Mean_cd,32319_Mean,32319_Mean_cd,32321_exo wq monitor_Mean,32321_exo wq monitor_Mean_cd
2023-10-13 00:00:00+00:00,9.5,P,14159500,725.0,P,786.0,P,849.0,P,39.0,A,11.6,P,7.9,P,,,1.45,P,0.38,P,,
2023-10-14 00:00:00+00:00,9.8,P,14159500,730.0,P,804.0,P,888.0,P,39.0,A,11.8,P,7.7,P,,,1.56,P,0.36,P,,
2023-10-15 00:00:00+00:00,9.6,P,14159500,730.0,P,805.0,P,883.0,P,40.0,A,11.8,P,7.6,P,,,1.53,P,0.41,P,,
2023-10-16 00:00:00+00:00,9.6,P,14159500,730.0,P,803.0,P,874.0,P,40.0,A,11.8,P,7.8,P,,,1.6,P,0.37,P,,
2023-10-17 00:00:00+00:00,9.6,P,14159500,733.0,P,798.0,P,879.0,P,41.0,A,11.6,P,7.5,P,,,1.5,P,0.41,P,,
2023-10-18 00:00:00+00:00,10.0,P,14159500,730.0,P,826.0,P,1360.0,P,42.0,A,12.0,P,7.1,P,,,1.53,P,0.36,P,,
2023-10-19 00:00:00+00:00,10.4,P,14159500,730.0,P,833.0,P,1570.0,P,44.0,A,12.0,P,6.8,P,,,1.55,P,0.39,P,,
2023-10-20 00:00:00+00:00,10.5,P,14159500,728.0,P,828.0,P,1530.0,P,45.0,A,11.9,P,6.6,P,,,1.43,P,0.32,P,,
2023-10-21 00:00:00+00:00,10.6,P,14159500,725.0,P,825.0,P,1490.0,P,46.0,A,11.8,P,6.6,P,,,1.39,P,0.33,P,,
2023-10-22 00:00:00+00:00,10.9,P,14159500,725.0,P,822.0,P,1450.0,P,47.0,A,11.7,P,6.2,P,,,1.41,P,0.34,P,,
2023-10-23 00:00:00+00:00,10.9,P,14159500,729.0,P,826.0,P,1410.0,P,47.0,A,11.8,P,6.3,P,,,1.49,P,0.35,P,,
2023-10-24 00:00:00+00:00,11.0,P,14159500,726.0,P,822.0,P,1370.0,P,47.0,"P, [4]",11.7,"P, [4]",6.0,"P, [4]",,,1.2,"P, [4]",0.15,"P, [4]",,
2023-10-25 00:00:00+00:00,11.3,P,14159500,727.0,P,819.0,P,1340.0,P,47.0,P,11.6,P,5.5,P,,,0.84,P,-0.05,P,,
2023-10-26 00:00:00+00:00,10.9,P,14159500,733.0,P,822.0,P,1300.0,P,47.0,P,11.7,P,5.8,P,,,0.88,P,-0.05,P,,
2023-10-27 00:00:00+00:00,11.0,P,14159500,735.0,P,824.0,P,1390.0,P,48.0,P,11.7,P,5.0,P,,,,,,,,
2023-10-28 00:00:00+00:00,10.8,P,14159500,738.0,P,836.0,P,1610.0,P,48.0,P,12.0,P,4.9,P,0.39,P,,,,,0.43,P
2023-10-29 00:00:00+00:00,10.4,P,14159500,737.0,P,835.0,P,1570.0,P,48.0,P,12.0,P,4.9,P,0.39,P,,,,,0.45,P
2023-10-30 00:00:00+00:00,10.0,P,14159500,735.0,P,832.0,P,1590.0,P,49.0,P,12.1,P,5.0,P,0.38,P,,,,,0.48,P
2023-10-31 00:00:00+00:00,9.4,P,14159500,733.0,P,831.0,P,1580.0,P,48.0,P,12.3,P,5.5,P,0.39,P,,,,,0.48,P
2023-11-01 00:00:00+00:00,8.8,P,14159500,731.0,P,826.0,P,1460.0,P,47.0,P,12.3,P,6.1,P,0.4,P,,,,,0.52,P
2023-11-02 00:00:00+00:00,8.2,P,14159500,730.0,P,822.0,P,1390.0,P,45.0,P,12.4,P,7.0,P,0.41,P,,,,,0.54,P
2023-11-03 00:00:00+00:00,8.6,P,14159500,731.0,P,799.0,P,929.0,P,47.0,P,11.9,P,6.6,P,0.4,P,,,,,0.51,P
2023-11-04 00:00:00+00:00,9.3,P,14159500,727.0,P,762.0,P,558.0,P,47.0,P,11.1,P,9.5,P,0.48,"P, [4]",,,,,0.47,"P, [4]"
2023-11-05 00:00:00+00:00,9.3,P,14159500,725.0,P,789.0,P,869.0,P,47.0,P,11.6,P,7.8,P,0.44,P,,,,,0.48,P
2023-11-06 00:00:00+00:00,9.3,P,14159500,723.0,P,795.0,P,1020.0,P,46.0,P,11.7,P,9.2,P,0.5,P,,,,,0.5,P
2023-11-07 00:00:00+00:00,8.9,P,14159500,733.0,P,809.0,P,1100.0,P,47.0,P,12.0,P,10.3,P,0.5,P,,,,,0.53,P
2023-11-08 00:00:00+00:00,8.6,P,14159500,738.0,P,813.0,P,1100.0,P,47.0,P,12.2,P,11.7,P,0.44,P,,,,,0.54,P
2023-11-09 00:00:00+00:00,8.2,P,14159500,733.0,P,807.0,P,1060.0,P,46.0,P,12.2,P,12.4,P,0.43,P,,,,,0.58,P
2023-11-10 00:00:00+00:00,7.6,P,14159500,733.0,P,801.0,P,915.0,P,45.0,P,12.2,P,12.3,P,0.33,P,,,,,0.54,P
2023-11-11 00:00:00+00:00,7.8,P,14159500,732.0,P,787.0,P,707.0,P,45.0,P,12.0,P,12.4,P,0.37,P,,,,,0.55,P
2023-11-12 00:00:00+00:00,7.8,P,14159500,727.0,P,751.0,P,402.0,P,46.0,P,11.5,P,12.9,P,0.38,P,,,,,0.55,P
2023-11-13 00:00:00+00:00,7.9,P,14159500,728.0,P,747.0,P,384.0,P,45.0,P,11.4,P,12.8,P,0.39,P,,,,,0.56,P
2023-11-14 00:00:00+00:00,7.9,P,14159500,728.0,P,748.0,P,385.0,P,45.0,P,11.4,P,12.6,P,0.4,P,,,,,0.57,P
2023-11-15 00:00:00+00:00,8.0,P,14159500,726.0,P,747.0,P,385.0,P,45.0,P,11.4,P,12.2,P,0.43,P,,,,,0.55,P
2023-11-16 00:00:00+00:00,7.9,P,14159500,729.0,P,751.0,P,369.0,P,45.0,P,11.8,P,11.8,P,0.44,P,,,,,0.58,P
2023-11-17 00:00:00+00:00,7.8,P,14159500,728.0,P,754.0,P,365.0,P,45.0,P,12.2,P,11.6,P,0.47,P,,,,,0.59,P
2023-11-18 00:00:00+00:00,7.8,P,14159500,723.0,P,749.0,P,365.0,P,46.0,P,12.2,P,11.2,P,0.47,P,,,,,0.59,P
2023-11-19 00:00:00+00:00,7.7,P,14159500,738.0,P,764.0,P,369.0,P,45.0,P,12.4,P,11.4,P,0.5,P,,,,,0.6,P
2023-11-20 00:00:00+00:00,7.4,P,14159500,739.0,P,767.0,P,404.0,P,46.0,P,12.6,P,10.8,P,0.47,P,,,,,0.6,P
2023-11-21 00:00:00+00:00,7.3,P,14159500,736.0,P,767.0,P,461.0,P,46.0,P,12.7,P,10.4,P,0.45,P,,,,,0.6,P
2023-11-22 00:00:00+00:00,7.3,P,14159500,736.0,P,772.0,P,457.0,P,46.0,P,12.7,P,10.2,P,0.45,P,,,,,0.61,P
2023-11-23 00:00:00+00:00,6.7,P,14159500,734.0,P,792.0,P,455.0,P,45.0,P,12.9,P,9.7,P,0.34,P,,,,,0.54,P
2023-11-24 00:00:00+00:00,6.5,P,14159500,735.0,P,792.0,P,454.0,P,46.0,P,12.9,P,9.7,P,0.36,P,,,,,0.54,P
2023-11-25 00:00:00+00:00,6.3,P,14159500,735.0,P,789.0,P,417.0,P,47.0,P,12.9,P,9.4,P,0.41,P,,,,,0.62,P
2023-11-26 00:00:00+00:00,6.2,P,14159500,733.0,P,781.0,P,342.0,P,47.0,P,12.8,P,9.1,P,0.41,P,,,,,0.62,P
2023-11-27 00:00:00+00:00,6.1,P,14159500,732.0,P,777.0,P,309.0,P,47.0,P,12.8,P,9.0,P,0.41,P,,,,,0.63,P
2023-11-28 00:00:00+00:00,5.9,P,14159500,732.0,P,778.0,P,309.0,P,46.0,P,12.8,P,8.9,P,0.41,P,,,,,0.64,P
2023-11-29 00:00:00+00:00,5.8,P,14159500,730.0,P,775.0,P,309.0,P,46.0,P,12.9,P,8.8,P,0.43,P,,,,,0.67,P
2023-11-30 00:00:00+00:00,5.8,P,14159500,727.0,P,771.0,P,311.0,P,46.0,P,12.8,P,8.8,P,0.42,P,,,,,0.64,P
2023-12-01 00:00:00+00:00,5.7,P,14159500,727.0,P,771.0,P,314.0,P,45.0,P,12.8,P,9.3,P,0.43,P,,,,,0.64,P
2023-12-02 00:00:00+00:00,6.0,P,14159500,726.0,P,771.0,P,332.0,P,43.0,P,12.7,P,10.8,P,0.41,P,,,,,0.61,P
2023-12-03 00:00:00+00:00,7.1,P,14159500,729.0,P,772.0,P,376.0,P,38.0,P,12.2,P,15.0,P,0.52,P,,,,,0.63,P
2023-12-04 00:00:00+00:00,7.0,P,14159500,732.0,P,776.0,P,354.0,P,40.0,P,12.3,P,15.1,P,0.38,P,,,,,0.56,P
2023-12-05 00:00:00+00:00,7.2,P,14159500,729.0,P,779.0,P,383.0,P,35.0,P,12.4,P,18.3,P,0.37,P,,,,,0.58,P
2023-12-06 00:00:00+00:00,7.1,P,14159500,724.0,P,764.0,P,397.0,P,36.0,P,12.0,P,18.7,P,0.38,P,,,,,0.58,P
2023-12-07 00:00:00+00:00,7.2,P,14159500,729.0,P,771.0,P,643.0,P,34.0,P,12.1,P,17.9,P,0.37,P,,,,,0.57,P
2023-12-08 00:00:00+00:00,7.1,P,14159500,737.0,P,846.0,P,1950.0,P,33.0,P,13.3,P,18.0,P,0.36,P,,,,,0.57,P
2023-12-09 00:00:00+00:00,6.9,P,14159500,737.0,P,847.0,P,1970.0,P,34.0,P,13.4,P,18.0,P,0.35,P,,,,,0.55,P
2023-12-10 00:00:00+00:00,6.6,P,14159500,734.0,P,844.0,P,1950.0,P,35.0,P,13.4,P,17.7,P,0.35,P,,,,,0.62,P
2023-12-11 00:00:00+00:00,6.7,P,14159500,732.0,P,842.0,P,1990.0,P,35.0,P,13.4,P,17.1,P,0.33,P,,,,,0.61,P
2023-12-12 00:00:00+00:00,6.7,P,14159500,732.0,P,796.0,P,2620.0,P,33.0,P,12.5,P,17.0,P,0.35,P,,,,,0.61,P
2023-12-13 00:00:00+00:00,6.5,P,14159500,731.0,P,768.0,P,2990.0,P,34.0,P,12.1,P,16.9,P,0.34,P,,,,,0.62,P
2023-12-14 00:00:00+00:00,6.4,P,14159500,733.0,P,767.0,P,2910.0,P,34.0,P,12.1,P,16.5,P,0.35,P,,,,,0.62,P
2023-12-15 00:00:00+00:00,6.3,P,14159500,734.0,P,763.0,P,2920.0,P,35.0,P,12.1,P,16.2,P,0.34,P,,,,,0.6,P
2023-12-16 00:00:00+00:00,6.2,P,14159500,733.0,P,759.0,P,2830.0,P,35.0,P,12.1,P,15.5,P,0.35,P,,,,,0.64,P
2023-12-17 00:00:00+00:00,6.1,P,14159500,730.0,P,757.0,P,2720.0,P,36.0,P,12.1,P,14.9,P,0.4,P,,,,,0.79,P
2023-12-18 00:00:00+00:00,6.1,P,14159500,721.0,P,738.0,P,2070.0,P,36.0,P,11.7,P,14.5,P,0.35,P,,,,,0.65,P
