date,PREC_DAILY,TAVG_DAILY,TMAX_DAILY,TMIN_DAILY
1987-04-14,14.3,46.6,56.7,36.9
1987-04-15,14.3,46.8,55.8,38.3
1987-04-16,14.3,50.9,60.6,41.4
1987-04-17,14.3,47.7,57.0,39.9
1987-04-18,14.4,29.1,43.9,13.6
1987-04-19,14.4,17.4,,10.2
1987-04-20,14.4,34.2,52.7,16.7
1987-04-21,14.4,33.4,35.2,32.9
1987-04-22,14.4,53.8,,43.7
1987-04-23,14.4,48.4,,38.7
1987-04-24,14.4,50.7,65.5,38.1
1987-04-25,14.4,53.2,64.0,43.5
1987-04-26,14.4,58.8,,46.8
1987-04-27,14.4,54.3,,44.6
1987-04-28,14.4,53.8,,43.2
1987-04-29,14.4,46.6,56.5,39.6
1987-04-30,15.5,38.1,48.6,32.2
1987-05-01,15.6,30.4,39.7,23.5
1987-05-02,15.6,28.4,35.1,21.4
1987-05-03,15.6,39.2,53.2,27.7
1987-05-04,15.6,49.1,63.5,36.1
1987-05-05,15.6,52.5,62.4,41.9
1987-05-06,15.6,53.8,64.0,44.4
1987-05-07,15.6,56.8,69.1,46.0
1987-05-08,15.6,53.6,64.8,46.9
1987-05-09,15.6,49.6,63.1,41.4
1987-05-10,15.6,47.3,57.9,40.6
1987-05-11,15.6,52.9,63.9,42.8
1987-05-12,15.6,53.2,61.7,45.5
1987-05-13,15.6,52.7,63.5,42.8
1987-05-14,16.0,57.7,72.3,46.2
1987-05-15,16.0,53.8,68.9,43.9
1987-05-16,16.6,46.6,,40.3
1987-05-17,17.0,40.8,50.4,37.2
1987-05-18,18.3,40.8,53.6,34.9
1987-05-19,18.6,37.4,45.7,31.8
1987-05-20,18.6,30.2,33.6,25.5
1987-05-21,18.6,35.4,44.8,27.5
1987-05-22,18.6,39.7,53.4,29.5
1987-05-23,18.6,42.6,55.6,34.5
1987-05-24,19.0,39.9,52.2,33.1
1987-05-25,19.6,32.9,36.0,30.6
1987-05-26,20.0,32.4,41.0,27.9
1987-05-27,20.5,34.2,,30.0
1987-05-28,20.5,37.4,47.5,32.4
1987-05-29,20.5,44.4,57.2,34.2
1987-05-30,20.5,47.3,55.2,39.4
1987-05-31,20.5,44.1,46.9,41.7
1987-06-01,20.5,40.6,52.3,27.3
1987-06-02,20.5,49.5,61.9,37.8
1987-06-03,20.5,57.2,70.2,44.6
1987-06-04,20.5,61.5,72.3,51.3
1987-06-05,20.5,58.5,68.4,49.8
1987-06-06,20.5,51.4,57.0,45.9
1987-06-07,20.5,,,
1987-06-08,20.8,48.4,60.3,41.2
1987-06-09,20.8,49.1,59.7,41.0
1987-06-10,20.8,52.3,61.9,43.2
1987-06-11,20.8,58.1,67.5,47.3
1987-06-12,20.8,62.6,73.2,50.4
1987-06-13,20.8,64.9,75.6,54.1
1987-06-14,20.8,63.7,74.7,56.5
1987-06-15,20.8,52.9,64.2,35.8
1987-06-16,20.8,46.6,59.2,33.1
1987-06-17,20.8,49.1,56.3,41.5
1987-06-18,20.8,45.5,55.2,32.9
1987-06-19,20.8,50.5,62.8,36.5
1987-06-20,20.8,56.8,67.5,47.3
1987-06-21,20.8,50.0,62.2,38.3
1987-06-22,20.8,45.7,57.9,34.3
1987-06-23,20.8,52.9,64.8,40.3
1987-06-24,20.8,57.6,69.6,46.4
1987-06-25,20.8,61.3,73.0,49.8
1987-06-26,20.8,64.6,75.4,53.1
1987-06-27,20.8,62.6,72.7,55.6
1987-06-28,20.8,60.3,70.0,52.7
1987-06-29,20.8,54.9,66.9,48.4
1987-06-30,20.8,59.7,70.7,47.7
1987-07-01,20.8,59.4,71.4,53.1
1987-07-02,20.8,54.7,66.9,46.9
1987-07-03,20.8,55.8,67.5,46.6
1987-07-04,20.8,58.3,69.3,48.4
1987-07-05,20.8,54.1,66.9,45.0
1987-07-06,20.8,52.5,64.8,42.1
1987-07-07,20.8,58.3,72.0,48.4
1987-07-08,20.8,59.0,70.3,52.2
1987-07-09,20.8,55.8,66.0,45.7
1987-07-10,20.8,45.9,52.0,41.2
1987-07-11,20.8,49.6,63.0,36.9
1987-07-12,20.8,55.4,66.2,43.0
1987-07-13,20.8,61.5,72.9,50.0
1987-07-14,20.8,66.0,77.4,58.5
1987-07-15,20.8,66.7,80.1,50.5
1987-07-16,20.8,61.7,71.2,52.7
1987-07-17,21.1,45.0,54.5,31.6
1987-07-18,21.1,35.8,46.0,29.8
1987-07-19,21.1,47.7,60.1,36.9
1987-07-20,21.1,53.6,61.5,46.9
1987-07-21,21.1,46.4,58.1,38.3
