date,PREC_DAILY
1982-01-27,19.1
1982-01-28,19.1
1982-01-29,19.3
1982-01-30,19.3
1982-01-31,19.3
1982-02-01,19.3
1982-02-02,19.5
1982-02-03,19.5
1982-02-04,19.5
1982-02-05,19.5
1982-02-06,19.5
1982-02-07,19.5
1982-02-08,19.5
1982-02-09,19.5
1982-02-10,19.5
1982-02-11,19.5
1982-02-12,19.6
1982-02-13,20.6
1982-02-14,21.3
1982-02-15,22.1
1982-02-16,22.3
1982-02-17,22.3
1982-02-18,22.6
1982-02-19,22.8
1982-02-20,23.3
1982-02-21,23.6
1982-02-22,23.6
1982-02-23,23.6
1982-02-24,23.6
1982-02-25,23.6
1982-02-26,23.8
1982-02-27,23.8
1982-02-28,24.1
1982-03-01,24.6
1982-03-02,24.6
1982-03-03,24.6
1982-03-04,24.6
1982-03-05,24.8
1982-03-06,24.8
1982-03-07,24.8
1982-03-08,25.1
1982-03-09,25.1
1982-03-10,25.3
1982-03-11,25.5
1982-03-12,25.5
1982-03-13,25.5
1982-03-14,25.7
1982-03-15,25.7
1982-03-16,25.7
1982-03-17,26.4
1982-03-18,26.7
1982-03-19,26.7
1982-03-20,26.7
1982-03-21,26.7
1982-03-22,26.7
1982-03-23,26.7
1982-03-24,26.7
1982-03-25,27.1
1982-03-26,27.1
1982-03-27,27.1
1982-03-28,27.5
1982-03-29,28.0
1982-03-30,28.6
1982-03-31,29.3
1982-04-01,29.3
1982-04-02,30.0
1982-04-03,30.2
1982-04-04,30.4
1982-04-05,30.5
1982-04-06,30.8
1982-04-07,30.8
1982-04-08,30.8
1982-04-09,30.9
1982-04-10,31.0
1982-04-11,31.5
1982-04-12,31.5
1982-04-13,31.5
1982-04-14,31.5
1982-04-15,31.5
1982-04-16,31.5
1982-04-17,31.5
1982-04-18,31.5
1982-04-19,31.5
1982-04-20,31.6
1982-04-21,31.8
1982-04-22,32.4
1982-04-23,32.9
1982-04-24,33.0
1982-04-25,33.0
1982-04-26,33.0
1982-04-27,33.1
1982-04-28,33.1
1982-04-29,33.1
1982-04-30,33.1
1982-05-01,33.2
1982-05-02,33.2
1982-05-03,33.2
1982-05-04,33.2
1982-05-05,33.2
1982-05-06,33.2
1982-05-07,33.2
1982-05-08,33.2
1982-05-09,33.2
1982-05-10,33.3
1982-05-11,33.3
1982-05-12,33.3
1982-05-13,33.3
1982-05-14,33.4
1982-05-15,33.4
1982-05-16,33.5
1982-05-17,33.8
1982-05-18,34.1
1982-05-19,34.1
1982-05-20,34.1
1982-05-21,34.1
1982-05-22,34.1
1982-05-23,34.1
1982-05-24,34.1
1982-05-25,34.2
1982-05-26,34.2
1982-05-27,34.3
1982-05-28,34.5
1982-05-29,34.6
1982-05-30,34.6
1982-05-31,34.6
1982-06-01,34.7
1982-06-02,34.7
1982-06-03,34.9
1982-06-04,35.0
1982-06-05,35.2
1982-06-06,35.2
1982-06-07,35.4
1982-06-08,35.4
1982-06-09,35.4
1982-06-10,35.4
1982-06-11,35.5
1982-06-12,35.5
1982-06-13,35.5
1982-06-14,35.5
1982-06-15,35.5
1982-06-16,35.5
1982-06-17,35.5
1982-06-18,35.5
1982-06-19,35.5
1982-06-20,35.5
1982-06-21,35.5
1982-06-22,35.5
1982-06-23,35.5
1982-06-24,35.5
1982-06-25,35.5
1982-06-26,35.7
1982-06-27,35.7
1982-06-28,35.7
1982-06-29,35.7
1982-06-30,35.7
1982-07-01,35.7
1982-07-02,35.7
1982-07-03,35.7
1982-07-04,35.7
1982-07-05,35.7
1982-07-06,35.7
1982-07-07,35.9
1982-07-08,35.9
1982-07-09,36.0
1982-07-10,36.0
1982-07-11,36.0
1982-07-12,36.0
1982-07-13,36.5
1982-07-14,36.5
1982-07-15,36.5
1982-07-16,36.5
1982-07-17,36.5
1982-07-18,36.5
1982-07-19,36.6
1982-07-20,36.6
1982-07-21,36.6
