date,WTEQ_DAILY
1982-01-18,20.0
1982-01-19,20.0
1982-01-20,20.0
1982-01-21,26.2
1982-01-22,26.2
1982-01-23,26.2
1982-01-24,26.2
1982-01-25,26.2
1982-01-26,27.1
1982-01-27,27.1
1982-01-28,27.1
1982-01-29,27.7
1982-01-30,28.6
1982-01-31,29.2
1982-02-01,29.5
1982-02-02,29.5
1982-02-03,29.5
1982-02-04,29.5
1982-02-05,29.5
1982-02-06,29.5
1982-02-07,29.5
1982-02-08,29.5
1982-02-09,29.5
1982-02-10,29.8
1982-02-11,30.4
1982-02-12,31.3
1982-02-13,33.0
1982-02-14,33.7
1982-02-15,33.1
1982-02-16,33.1
1982-02-17,32.8
1982-02-18,33.2
1982-02-19,33.6
1982-02-20,33.9
1982-02-21,34.0
1982-02-22,33.7
1982-02-23,33.7
1982-02-24,33.7
1982-02-25,33.7
1982-02-26,34.0
1982-02-27,34.0
1982-02-28,34.0
1982-03-01,34.3
1982-03-02,34.6
1982-03-03,34.8
1982-03-04,34.8
1982-03-05,34.8
1982-03-06,34.8
1982-03-07,34.8
1982-03-08,35.4
1982-03-09,37.5
1982-03-10,36.8
1982-03-11,36.9
1982-03-12,37.2
1982-03-13,37.3
1982-03-14,36.9
1982-03-15,36.9
1982-03-16,36.9
1982-03-17,36.9
1982-03-18,36.9
1982-03-19,36.9
1982-03-20,36.9
1982-03-21,36.9
1982-03-22,36.7
1982-03-23,36.6
1982-03-24,36.9
1982-03-25,37.2
1982-03-26,37.0
1982-03-27,36.9
1982-03-28,36.9
1982-03-29,36.9
1982-03-30,36.9
1982-03-31,37.0
1982-04-01,36.9
1982-04-02,37.3
1982-04-03,37.2
1982-04-04,37.2
1982-04-05,37.5
1982-04-06,37.2
1982-04-07,37.5
1982-04-08,37.5
1982-04-09,37.8
1982-04-10,37.8
1982-04-11,38.2
1982-04-12,38.7
1982-04-13,38.3
1982-04-14,37.8
1982-04-15,37.9
1982-04-16,37.5
1982-04-17,38.1
1982-04-18,38.4
1982-04-19,38.4
1982-04-20,38.5
1982-04-21,39.0
1982-04-22,38.7
1982-04-23,38.4
1982-04-24,38.1
1982-04-25,37.3
1982-04-26,36.9
1982-04-27,36.4
1982-04-28,36.8
1982-04-29,36.7
1982-04-30,36.4
1982-05-01,36.1
1982-05-02,35.8
1982-05-03,36.0
1982-05-04,35.8
1982-05-05,35.5
1982-05-06,35.0
1982-05-07,34.9
1982-05-08,34.6
1982-05-09,34.3
1982-05-10,34.0
1982-05-11,32.8
1982-05-12,32.5
1982-05-13,31.9
1982-05-14,31.3
1982-05-15,29.8
1982-05-16,29.2
1982-05-17,28.6
1982-05-18,28.3
1982-05-19,27.7
1982-05-20,26.8
1982-05-21,25.6
1982-05-22,25.0
1982-05-23,24.1
1982-05-24,23.3
1982-05-25,22.0
1982-05-26,21.6
1982-05-27,21.1
1982-05-28,20.8
1982-05-29,19.8
1982-05-30,19.0
1982-05-31,17.8
1982-06-01,17.1
1982-06-02,16.6
1982-06-03,16.3
1982-06-04,16.1
1982-06-05,15.8
1982-06-06,15.2
1982-06-07,14.6
1982-06-08,13.4
1982-06-09,10.8
1982-06-10,10.8
1982-06-11,9.2
1982-06-12,8.3
1982-06-13,7.7
1982-06-14,6.5
1982-06-15,4.8
1982-06-16,3.0
1982-06-17,0.9
1982-06-18,0.0
1982-06-19,0.0
1982-06-20,0.0
1982-06-21,0.0
1982-06-22,0.0
1982-06-23,0.0
1982-06-24,0.0
1982-06-25,0.0
1982-06-26,0.0
1982-06-27,0.0
1982-06-28,0.0
1982-06-29,0.0
1982-06-30,0.0
1982-07-01,0.0
1982-07-02,0.0
1982-07-03,0.0
1982-07-04,0.0
1982-07-05,0.0
1982-07-06,0.0
1982-07-07,0.0
1982-07-08,0.0
1982-07-09,0.0
1982-07-10,0.0
1982-07-11,0.0
1982-07-12,0.0
1982-07-13,0.0
1982-07-14,0.0
1982-07-15,0.0
1982-07-16,0.0
1982-07-17,0.0
1982-07-18,0.0
1982-07-19,0.0
1982-07-20,0.0
1982-07-21,0.0
