date,PREC_DAILY
1980-03-05,39.0
1980-03-06,39.2
1980-03-07,39.2
1980-03-08,39.3
1980-03-09,39.3
1980-03-10,39.3
1980-03-11,39.5
1980-03-12,39.5
1980-03-13,39.5
1980-03-14,39.5
1980-03-15,39.5
1980-03-16,39.6
1980-03-17,39.6
1980-03-18,39.7
1980-03-19,39.7
1980-03-20,39.8
1980-03-21,39.9
1980-03-22,39.9
1980-03-23,39.9
1980-03-24,39.9
1980-03-25,39.9
1980-03-26,39.9
1980-03-27,39.9
1980-03-28,39.9
1980-03-29,39.9
1980-03-30,39.9
1980-03-31,39.9
1980-04-01,40.1
1980-04-02,40.2
1980-04-03,40.2
1980-04-04,40.5
1980-04-05,41.2
1980-04-06,41.4
1980-04-07,41.4
1980-04-08,41.4
1980-04-09,41.4
1980-04-10,41.4
1980-04-11,41.4
1980-04-12,41.4
1980-04-13,41.4
1980-04-14,41.4
1980-04-15,41.4
1980-04-16,41.4
1980-04-17,41.4
1980-04-18,41.4
1980-04-19,41.5
1980-04-20,41.5
1980-04-21,41.7
1980-04-22,41.7
1980-04-23,41.7
1980-04-24,41.7
1980-04-25,41.7
1980-04-26,41.7
1980-04-27,41.7
1980-04-28,41.7
1980-04-29,41.7
1980-04-30,41.7
1980-05-01,41.7
1980-05-02,41.8
1980-05-03,41.8
1980-05-04,41.8
1980-05-05,41.8
1980-05-06,41.8
1980-05-07,41.8
1980-05-08,41.8
1980-05-09,42.3
1980-05-10,42.5
1980-05-11,42.6
1980-05-12,42.6
1980-05-13,42.9
1980-05-14,42.9
1980-05-15,42.9
1980-05-16,42.9
1980-05-17,42.9
1980-05-18,42.9
1980-05-19,42.9
1980-05-20,42.9
1980-05-21,42.9
1980-05-22,42.9
1980-05-23,42.9
1980-05-24,43.0
1980-05-25,43.0
1980-05-26,43.1
1980-05-27,43.1
1980-05-28,43.1
1980-05-29,43.2
1980-05-30,43.2
1980-05-31,43.2
1980-06-01,43.2
1980-06-02,43.2
1980-06-03,43.2
1980-06-04,43.5
1980-06-05,43.5
1980-06-06,43.5
1980-06-07,43.5
1980-06-08,43.5
1980-06-09,43.5
1980-06-10,43.5
1980-06-11,43.5
1980-06-12,43.5
1980-06-13,43.5
1980-06-14,43.5
1980-06-15,43.5
1980-06-16,43.5
1980-06-17,43.5
1980-06-18,43.5
1980-06-19,43.5
1980-06-20,43.5
1980-06-21,43.5
1980-06-22,43.5
1980-06-23,43.5
1980-06-24,43.5
1980-06-25,43.5
1980-06-26,43.5
1980-06-27,43.5
1980-06-28,43.5
1980-06-29,43.5
1980-06-30,43.5
1980-07-01,43.7
1980-07-02,44.3
1980-07-03,44.4
1980-07-04,44.4
1980-07-05,44.4
1980-07-06,44.4
1980-07-07,44.4
1980-07-08,44.4
1980-07-09,44.4
1980-07-10,44.4
1980-07-11,44.4
1980-07-12,44.4
1980-07-13,44.4
1980-07-14,44.4
1980-07-15,44.4
1980-07-16,44.4
1980-07-17,44.4
1980-07-18,44.4
1980-07-19,44.4
1980-07-20,44.4
1980-07-21,44.4
